ID Cliente,Cor do Cabelo,Cor dos Olhos,Cor da Pele,Altura (cm),Peso (kg),Tatuagens,Piercings,Tipo Sanguíneo,Tipo de Pele
1,Castanho,Verde,Negra,182.81,66.71,1,1,AB+,Mista
2,Castanho,Castanho,Parda,168.21,65.74,2,2,AB+,Oleosa
3,Preto,Azul,Branca,169.54,109.91,1,1,B+,Oleosa
4,Loiro,Castanho,Negra,167.25,100.1,4,3,O+,Oleosa
5,Loiro,Preto,Negra,152.45,117.68,1,0,B+,Mista
6,Loiro,Verde,Indígena,192.06,47.23,4,3,AB+,Oleosa
7,Castanho,Preto,Parda,190.18,90.63,0,3,AB+,Mista
8,Castanho,Verde,Branca,169.48,63.35,5,1,O-,Mista
9,Ruivo,Azul,Negra,190.63,93.25,3,2,A+,Mista
10,Castanho,Castanho,Amarela,173.18,46.88,3,2,AB+,Mista
11,Castanho,Castanho,Branca,198.33,66.74,1,1,O+,Seca
12,Castanho,Azul,Indígena,189.19,70.87,5,0,O-,Mista
13,Loiro,Castanho,Indígena,193.13,70.05,3,2,A-,Seca
14,Loiro,Preto,Branca,172.48,86.78,1,0,A-,Normal
15,Castanho,Azul,Parda,190.79,85.45,4,1,A+,Seca
16,Loiro,Preto,Branca,187.26,68.57,2,3,A-,Mista
17,Ruivo,Verde,Amarela,185.37,103.19,2,0,O-,Mista
18,Loiro,Castanho,Indígena,182.92,49.26,5,0,O-,Mista
19,Ruivo,Preto,Indígena,197.9,70.39,2,0,A+,Seca
20,Preto,Castanho,Branca,187.58,59.69,5,0,B-,Oleosa
21,Castanho,Verde,Indígena,193.41,116.52,5,0,B-,Seca
22,Loiro,Castanho,Amarela,159.2,89.08,5,0,B+,Seca
23,Ruivo,Verde,Negra,193.46,92.8,0,0,AB-,Oleosa
24,Preto,Azul,Parda,158.21,107.07,1,2,O-,Normal
25,Preto,Castanho,Branca,162.53,112.88,4,3,A+,Oleosa
26,Loiro,Azul,Branca,154.66,77.72,0,0,AB+,Mista
27,Loiro,Verde,Branca,193.78,54.54,0,3,AB+,Mista
28,Preto,Azul,Amarela,166.73,42.25,3,0,B-,Seca
29,Castanho,Preto,Indígena,152.1,52.67,1,3,A+,Mista
30,Castanho,Azul,Negra,157.02,87.56,2,1,O-,Oleosa
31,Ruivo,Preto,Parda,175.64,119.74,4,2,B-,Mista
32,Castanho,Verde,Amarela,174.77,92.01,2,2,B+,Mista
33,Preto,Verde,Amarela,163.89,72.79,0,0,AB+,Seca
34,Preto,Castanho,Parda,160.11,67.45,2,1,O+,Normal
35,Preto,Preto,Negra,159.03,59.95,0,0,O+,Seca
36,Castanho,Castanho,Branca,151.92,54.17,5,1,O-,Oleosa
37,Ruivo,Castanho,Branca,150.46,46.58,1,0,AB+,Mista
38,Castanho,Verde,Branca,168.04,104.58,5,0,A+,Mista
39,Ruivo,Azul,Negra,167.15,60.51,5,1,B-,Mista
40,Castanho,Verde,Indígena,180.74,105.36,5,1,A+,Oleosa
41,Preto,Verde,Indígena,166.86,94.64,0,2,AB+,Oleosa
42,Preto,Azul,Amarela,155.23,46.12,2,3,B-,Normal
43,Loiro,Preto,Branca,188.58,111.46,2,0,A-,Oleosa
44,Castanho,Preto,Indígena,198.46,89.88,0,3,O-,Normal
45,Castanho,Azul,Amarela,160.09,95.73,5,3,O-,Mista
46,Loiro,Azul,Branca,157.39,116.71,1,1,B+,Normal
47,Preto,Castanho,Amarela,184.02,65.87,4,1,AB+,Oleosa
48,Castanho,Azul,Amarela,192.89,111.33,0,1,O+,Normal
49,Loiro,Azul,Negra,187.2,66.78,2,0,B+,Mista
50,Castanho,Castanho,Amarela,163.67,109.78,1,0,AB+,Mista
51,Ruivo,Preto,Amarela,169.53,90.79,2,2,O-,Normal
52,Preto,Azul,Indígena,176.44,63.97,1,2,A+,Seca
53,Ruivo,Azul,Negra,179.52,106.26,0,0,AB+,Oleosa
54,Preto,Castanho,Branca,196.33,43.43,1,3,A-,Seca
55,Loiro,Azul,Amarela,159.83,69.86,3,3,A-,Normal
56,Preto,Castanho,Branca,188.49,49.96,4,1,B-,Oleosa
57,Preto,Verde,Indígena,186.56,55.11,2,3,A+,Oleosa
58,Loiro,Castanho,Parda,151.97,84.82,5,2,A-,Oleosa
59,Preto,Verde,Parda,198.21,40.1,5,2,O+,Oleosa
60,Castanho,Verde,Negra,179.55,79.23,5,3,AB+,Normal
61,Loiro,Castanho,Parda,164.51,57.12,5,0,B-,Seca
62,Loiro,Castanho,Amarela,199.84,61.12,1,1,B+,Normal
63,Loiro,Castanho,Branca,172.82,78.93,1,1,B-,Normal
64,Ruivo,Preto,Negra,164.22,56.68,3,0,A-,Normal
65,Ruivo,Azul,Negra,150.9,50.75,4,1,AB+,Mista
66,Preto,Castanho,Branca,179.47,108.58,2,1,AB-,Mista
67,Loiro,Verde,Indígena,198.25,109.79,1,0,O+,Seca
68,Preto,Verde,Branca,153.14,61.06,0,3,AB-,Normal
69,Castanho,Castanho,Negra,191.48,60.73,5,1,A-,Oleosa
70,Loiro,Azul,Amarela,170.86,61.65,5,0,A-,Oleosa
71,Castanho,Azul,Indígena,173.18,49.28,0,3,B+,Mista
72,Preto,Azul,Indígena,194.22,100.4,0,2,O-,Oleosa
73,Ruivo,Verde,Branca,178.59,58.39,1,0,AB-,Normal
74,Preto,Castanho,Branca,196.15,65.36,1,3,A-,Normal
75,Castanho,Castanho,Negra,191.74,56.91,5,3,O-,Oleosa
76,Loiro,Castanho,Branca,161.14,41.73,2,0,A+,Seca
77,Preto,Verde,Branca,163.24,72.94,4,1,A+,Oleosa
78,Loiro,Castanho,Branca,194.58,103.78,0,0,B-,Normal
79,Ruivo,Verde,Negra,192.61,73.47,2,1,AB+,Normal
80,Ruivo,Verde,Amarela,190.84,72.17,1,1,B-,Seca
81,Ruivo,Azul,Negra,183.42,95.61,3,3,O-,Seca
82,Loiro,Castanho,Parda,178.98,108.85,2,2,AB+,Oleosa
83,Preto,Castanho,Branca,169.74,92.74,1,0,B-,Mista
84,Loiro,Preto,Parda,150.21,88.54,3,3,B+,Normal
85,Loiro,Azul,Parda,161.46,117.22,2,1,AB-,Seca
86,Preto,Verde,Indígena,161.09,113.59,1,3,O+,Mista
87,Ruivo,Azul,Negra,191.08,85.57,4,1,O-,Oleosa
88,Ruivo,Preto,Parda,161.95,53.85,3,2,AB+,Seca
89,Preto,Azul,Negra,150.11,82.93,5,0,A+,Normal
90,Loiro,Azul,Indígena,152.39,108.66,3,3,AB-,Seca
91,Loiro,Preto,Amarela,153.81,115.08,1,3,B-,Normal
92,Ruivo,Azul,Amarela,190.16,80.73,5,3,O+,Normal
93,Castanho,Azul,Branca,176.76,101.22,2,2,B+,Mista
94,Castanho,Preto,Branca,194.97,109.69,0,0,AB-,Mista
95,Castanho,Preto,Branca,197.0,100.35,5,1,A-,Normal
96,Loiro,Verde,Parda,150.82,68.05,0,1,B+,Mista
97,Loiro,Preto,Indígena,193.43,108.45,4,1,B-,Oleosa
98,Ruivo,Castanho,Negra,186.64,58.97,2,0,A-,Oleosa
99,Castanho,Castanho,Amarela,188.34,106.51,3,1,A-,Mista
100,Ruivo,Castanho,Parda,189.4,66.29,1,1,AB-,Seca
101,Ruivo,Verde,Negra,188.45,99.89,4,2,AB+,Normal
102,Ruivo,Azul,Amarela,183.17,76.29,1,1,A-,Seca
103,Preto,Preto,Parda,174.83,107.67,4,1,A-,Mista
104,Castanho,Verde,Parda,179.01,49.86,5,3,A-,Normal
105,Castanho,Azul,Indígena,176.7,61.27,5,3,A+,Oleosa
106,Preto,Preto,Parda,177.62,55.72,2,0,B+,Mista
107,Preto,Azul,Negra,188.98,91.34,2,1,A+,Oleosa
108,Castanho,Preto,Indígena,192.76,73.99,2,3,O+,Oleosa
109,Preto,Castanho,Parda,196.28,84.22,2,1,A+,Seca
110,Ruivo,Preto,Parda,169.45,84.8,0,3,O-,Mista
111,Loiro,Preto,Indígena,186.29,49.59,2,2,A-,Oleosa
112,Ruivo,Verde,Indígena,158.86,48.45,5,2,B-,Oleosa
113,Castanho,Verde,Branca,182.81,70.7,3,1,O+,Seca
114,Preto,Verde,Branca,150.71,106.57,0,1,B-,Normal
115,Loiro,Castanho,Parda,171.48,61.68,4,2,A+,Oleosa
116,Castanho,Castanho,Amarela,166.44,97.67,5,1,A+,Mista
117,Preto,Preto,Indígena,162.28,106.32,0,3,AB-,Normal
118,Loiro,Verde,Amarela,173.99,56.25,4,2,B+,Oleosa
119,Loiro,Castanho,Parda,154.97,115.77,1,2,B+,Seca
120,Preto,Castanho,Branca,196.55,87.25,2,2,A-,Normal
121,Loiro,Preto,Negra,186.55,100.8,0,2,AB+,Mista
122,Castanho,Preto,Negra,158.45,112.09,0,1,AB+,Oleosa
123,Preto,Azul,Indígena,164.62,80.58,3,3,B+,Normal
124,Ruivo,Azul,Negra,162.85,56.44,5,3,O+,Normal
125,Castanho,Preto,Parda,158.09,77.59,2,0,O-,Seca
126,Castanho,Azul,Indígena,171.32,92.15,2,0,B-,Normal
127,Preto,Castanho,Negra,186.46,68.73,2,0,AB-,Normal
128,Preto,Preto,Branca,168.07,80.96,2,2,B-,Seca
129,Loiro,Preto,Parda,188.25,98.58,5,1,AB+,Mista
130,Castanho,Verde,Negra,164.44,57.16,1,1,B+,Mista
131,Loiro,Castanho,Branca,199.89,62.72,5,0,AB-,Normal
132,Castanho,Castanho,Negra,184.58,77.99,3,3,O+,Mista
133,Castanho,Verde,Amarela,181.95,41.11,5,2,A-,Oleosa
134,Ruivo,Azul,Amarela,153.81,60.09,0,0,A-,Normal
135,Castanho,Preto,Branca,157.78,58.6,3,0,O+,Normal
136,Loiro,Azul,Branca,156.07,40.67,1,2,A-,Mista
137,Loiro,Castanho,Amarela,196.86,41.0,3,3,AB-,Seca
138,Ruivo,Azul,Branca,197.68,113.05,1,3,AB+,Oleosa
139,Loiro,Castanho,Parda,153.3,115.37,4,0,AB+,Mista
140,Preto,Preto,Parda,188.52,67.93,0,2,B+,Mista
141,Ruivo,Preto,Indígena,187.92,81.01,3,2,O+,Mista
142,Loiro,Preto,Amarela,163.5,90.95,3,2,A-,Seca
143,Loiro,Verde,Parda,158.95,73.53,1,0,AB+,Normal
144,Preto,Verde,Branca,188.25,41.86,1,3,AB-,Oleosa
145,Ruivo,Verde,Branca,166.88,83.6,3,1,AB-,Mista
146,Preto,Preto,Parda,175.02,71.67,2,3,B-,Normal
147,Ruivo,Preto,Indígena,191.76,67.89,3,3,O-,Mista
148,Ruivo,Azul,Amarela,176.73,103.0,0,0,AB-,Oleosa
149,Castanho,Castanho,Amarela,175.54,117.59,1,1,B+,Normal
150,Loiro,Verde,Branca,174.06,113.91,0,2,O+,Seca
151,Loiro,Preto,Amarela,180.72,45.43,5,0,B+,Normal
152,Castanho,Preto,Amarela,189.27,107.79,2,1,AB-,Mista
153,Preto,Castanho,Amarela,167.81,108.99,3,0,A+,Oleosa
154,Castanho,Verde,Branca,154.6,58.61,2,2,A-,Mista
155,Loiro,Verde,Negra,158.82,46.8,3,3,AB+,Oleosa
156,Loiro,Azul,Negra,190.33,42.79,5,1,AB+,Normal
157,Castanho,Preto,Amarela,177.27,92.19,5,3,A+,Mista
158,Castanho,Azul,Negra,162.51,76.02,5,1,B+,Normal
159,Castanho,Preto,Amarela,150.91,50.72,1,0,B-,Seca
160,Loiro,Castanho,Indígena,195.69,61.48,3,3,B+,Oleosa
161,Castanho,Azul,Branca,190.22,62.36,2,1,B-,Normal
162,Castanho,Preto,Parda,189.67,41.57,0,3,AB-,Oleosa
163,Preto,Verde,Branca,154.32,96.58,1,3,AB-,Normal
164,Castanho,Castanho,Indígena,153.17,79.58,3,0,B-,Oleosa
165,Loiro,Preto,Parda,157.29,87.33,0,1,AB-,Normal
166,Preto,Azul,Branca,158.02,96.33,4,1,A+,Normal
167,Ruivo,Azul,Indígena,190.76,47.98,2,1,B-,Seca
168,Loiro,Preto,Parda,176.74,57.21,4,2,AB-,Mista
169,Loiro,Castanho,Parda,173.93,61.66,0,2,B+,Oleosa
170,Ruivo,Preto,Indígena,196.24,119.83,4,0,A+,Mista
171,Loiro,Azul,Negra,181.58,59.22,5,0,AB-,Normal
172,Ruivo,Azul,Branca,151.49,84.07,3,1,A+,Mista
173,Ruivo,Verde,Parda,192.68,46.02,3,2,O-,Normal
174,Loiro,Verde,Indígena,189.63,89.71,1,2,AB-,Oleosa
175,Castanho,Azul,Amarela,171.62,97.17,0,3,A+,Seca
176,Castanho,Verde,Amarela,190.36,64.77,4,3,O-,Mista
177,Ruivo,Verde,Branca,188.79,116.38,4,1,A-,Seca
178,Preto,Preto,Branca,170.12,113.89,0,3,O-,Seca
179,Ruivo,Castanho,Indígena,158.38,51.54,3,1,B-,Mista
180,Ruivo,Preto,Amarela,181.05,62.16,4,2,AB-,Oleosa
181,Ruivo,Preto,Parda,174.17,116.17,1,3,AB+,Normal
182,Castanho,Verde,Indígena,179.32,42.25,0,2,AB+,Oleosa
183,Castanho,Verde,Amarela,184.87,98.42,4,2,B+,Oleosa
184,Castanho,Castanho,Amarela,198.81,84.64,3,0,AB-,Mista
185,Ruivo,Castanho,Indígena,187.23,52.08,1,1,B+,Oleosa
186,Preto,Castanho,Indígena,191.73,71.18,0,2,AB+,Normal
187,Castanho,Preto,Indígena,196.69,60.46,1,3,O-,Seca
188,Loiro,Castanho,Parda,189.04,114.66,4,2,O-,Oleosa
189,Loiro,Azul,Negra,177.87,72.55,4,0,O-,Oleosa
190,Loiro,Azul,Amarela,172.89,54.67,2,0,O-,Oleosa
191,Ruivo,Preto,Amarela,166.11,69.86,0,0,AB+,Oleosa
192,Loiro,Verde,Negra,168.44,119.35,3,3,AB+,Oleosa
193,Ruivo,Castanho,Negra,195.0,107.36,5,1,AB+,Mista
194,Loiro,Azul,Branca,151.82,103.48,3,3,O+,Oleosa
195,Preto,Castanho,Parda,159.4,54.84,0,3,AB+,Seca
196,Ruivo,Azul,Parda,178.55,41.12,2,0,B-,Seca
197,Loiro,Azul,Branca,150.86,106.59,2,1,A+,Normal
198,Castanho,Castanho,Negra,183.23,95.51,0,3,AB+,Normal
199,Ruivo,Azul,Indígena,168.63,93.88,5,1,O+,Seca
200,Castanho,Castanho,Parda,166.94,53.79,2,2,AB+,Oleosa
201,Castanho,Azul,Parda,187.49,47.97,5,3,A+,Seca
202,Castanho,Verde,Indígena,150.37,82.69,4,3,A+,Mista
203,Castanho,Preto,Amarela,165.76,89.75,4,3,O+,Seca
204,Loiro,Preto,Branca,173.17,42.84,4,0,A+,Seca
205,Loiro,Castanho,Indígena,156.7,64.44,1,0,O+,Oleosa
206,Ruivo,Preto,Parda,154.8,82.07,1,1,B+,Normal
207,Ruivo,Preto,Parda,176.03,47.94,5,2,O+,Mista
208,Ruivo,Preto,Parda,188.31,70.52,5,2,AB+,Seca
209,Loiro,Preto,Parda,179.64,44.02,5,1,O+,Seca
210,Ruivo,Verde,Indígena,173.67,40.96,3,1,B+,Seca
211,Castanho,Verde,Branca,177.68,83.69,3,1,O-,Mista
212,Loiro,Preto,Branca,177.58,75.89,1,0,AB-,Normal
213,Ruivo,Verde,Parda,188.08,92.22,5,0,AB-,Normal
214,Castanho,Verde,Indígena,155.99,44.49,0,0,B-,Mista
215,Ruivo,Preto,Parda,190.54,114.4,1,2,O-,Oleosa
216,Preto,Castanho,Parda,189.31,102.32,1,3,O-,Seca
217,Ruivo,Preto,Negra,181.9,42.54,2,1,B-,Mista
218,Preto,Verde,Amarela,162.3,66.82,1,0,AB-,Oleosa
219,Ruivo,Castanho,Amarela,176.85,103.39,4,1,AB+,Mista
220,Ruivo,Verde,Branca,171.28,71.27,4,1,O+,Mista
221,Loiro,Verde,Amarela,151.95,104.21,4,2,A+,Oleosa
222,Loiro,Azul,Branca,155.33,97.72,0,1,A-,Mista
223,Preto,Azul,Amarela,196.95,45.61,2,3,B+,Seca
224,Loiro,Azul,Branca,183.24,68.83,4,1,A-,Seca
225,Castanho,Verde,Parda,199.92,72.74,2,1,A+,Seca
226,Castanho,Preto,Amarela,184.8,83.5,0,0,AB+,Normal
227,Preto,Preto,Indígena,190.78,42.49,5,0,A+,Seca
228,Castanho,Verde,Negra,199.96,67.12,2,3,O-,Seca
229,Castanho,Azul,Amarela,164.03,78.06,5,1,B+,Oleosa
230,Ruivo,Verde,Branca,192.49,65.04,1,0,AB-,Mista
231,Loiro,Preto,Indígena,199.07,44.79,0,1,AB+,Seca
232,Castanho,Preto,Branca,198.76,79.59,1,3,AB-,Normal
233,Castanho,Preto,Parda,168.19,50.92,2,1,B-,Normal
234,Loiro,Verde,Indígena,174.91,116.43,4,3,O+,Mista
235,Castanho,Preto,Indígena,186.93,85.05,1,2,A+,Mista
236,Castanho,Preto,Parda,170.34,40.99,3,2,A-,Normal
237,Loiro,Preto,Branca,151.31,103.88,2,2,O+,Normal
238,Ruivo,Preto,Amarela,164.26,57.3,2,1,A+,Oleosa
239,Castanho,Castanho,Negra,159.24,76.92,0,1,B-,Normal
240,Loiro,Verde,Parda,154.65,55.16,5,0,B+,Mista
241,Castanho,Verde,Parda,156.87,102.3,1,3,AB+,Oleosa
242,Castanho,Preto,Parda,176.25,92.35,4,1,O-,Normal
243,Ruivo,Azul,Amarela,179.98,53.73,1,0,A+,Normal
