ID Cliente;Escolaridade;Tem Filhos;Salário;Idade;Estado;Estado Civil;Profissão;Hobbies (Código);Número de Cartões de Crédito
1;Fundamental;Sim;4561.18;42.16;MA;Viúvo;Professor;R;3
2;Superior;Sim;7344.43;46.99;TO;Solteiro;Outros;E;2
3;Fundamental;Não;5467.59;64.53;PI;Solteiro;Empresário;RC;3
4;Pós-Graduação;Não;1886.92;33.76;RJ;Divorciado;Professor;MLM;2
5;Superior;Não;9703.03;35.94;AP;Viúvo;Médico;CXC;1
6;Fundamental;Não;1809.09;58.89;PB;Solteiro;Outros;TU;3
7;Fundamental;Sim;6403.55;51.51;CE;Solteiro;Médico;KB;0
8;Pós-Graduação;Sim;9883.71;66.72;SP;Viúvo;Advogado;THHF;1
9;Superior;Não;1277.18;77.51;RJ;Casado;Outros;JX;3
10;Superior;Não;2339.87;51.61;MT;Viúvo;Médico;MQOHB;2
11;Fundamental;Sim;6960.81;78.66;TO;Casado;Estudante;UFSP;1
12;Médio;Não;6264.1;53.85;RR;Solteiro;Outros;I;2
13;Médio;Não;9295.44;40.64;TO;Viúvo;Estudante;QI;0
14;Superior;Não;4777.42;20.17;SC;Divorciado;Outros;SIWN;2
15;Superior;Sim;2050.75;45.63;MS;Viúvo;Artista;RAQM;3
16;Médio;Sim;8973.23;20.91;PR;Casado;Professor;MZOW;3
17;Médio;Não;1016.19;63.25;RR;Viúvo;Engenheiro;D;3
18;Fundamental;Não;1634.75;35.19;BA;Viúvo;Engenheiro;BL;0
19;Pós-Graduação;Sim;3915.0;27.58;RO;Casado;Empresário;JID;0
20;Fundamental;Sim;5469.9;79.04;RS;Solteiro;Engenheiro;ILZP;0
21;Pós-Graduação;Sim;7856.43;65.53;CE;Viúvo;Professor;IJLD;2
22;Fundamental;Sim;9816.35;58.67;DF;Casado;Outros;YKK;2
23;Fundamental;Sim;1975.18;40.04;RS;Viúvo;Outros;QIVL;3
24;Superior;Não;3328.48;31.26;AP;Solteiro;Engenheiro;ZB;1
25;Pós-Graduação;Não;4512.95;55.02;PE;Solteiro;Advogado;NUYNU;1
26;Fundamental;Não;9820.07;26.28;ES;Divorciado;Professor;LLXP;2
27;Fundamental;Sim;2508.28;58.7;PI;Solteiro;Outros;ND;2
28;Fundamental;Sim;3705.96;38.57;RN;Divorciado;Professor;UU;0
29;Médio;Não;1992.2;74.85;AC;Viúvo;Artista;I;1
30;Médio;Sim;5286.68;69.8;MS;Divorciado;Médico;WX;2
31;Fundamental;Sim;2431.88;40.2;MT;Casado;Engenheiro;AHSFV;2
32;Superior;Sim;3284.82;43.07;MG;Solteiro;Estudante;NMJRK;1
33;Pós-Graduação;Sim;9484.36;34.7;PA;Solteiro;Outros;YADBA;0
34;Pós-Graduação;Sim;9802.56;33.15;MT;Viúvo;Engenheiro;H;3
35;Superior;Sim;6919.55;50.25;RR;Solteiro;Outros;ISLKB;3
36;Pós-Graduação;Sim;3659.17;58.37;AP;Casado;Engenheiro;ACQPI;1
37;Fundamental;Sim;5956.51;79.87;SP;Solteiro;Empresário;RE;3
38;Superior;Sim;5892.69;64.8;RS;Solteiro;Empresário;QKL;0
39;Superior;Não;3162.27;22.4;SC;Viúvo;Empresário;PGXHA;3
40;Pós-Graduação;Não;2352.29;63.84;SC;Solteiro;Estudante;J;0
41;Médio;Sim;8960.47;36.1;PB;Divorciado;Professor;ZK;1
42;Superior;Não;4859.9;33.46;SE;Viúvo;Engenheiro;QHECO;3
43;Fundamental;Não;7114.29;26.38;RJ;Solteiro;Estudante;WOM;1
44;Pós-Graduação;Sim;9598.29;57.76;AP;Solteiro;Outros;NCNC;1
45;Pós-Graduação;Sim;1069.67;69.76;RO;Casado;Médico;D;2
46;Pós-Graduação;Não;9076.27;45.04;AM;Divorciado;Outros;UFBDU;3
47;Pós-Graduação;Não;4554.57;68.56;GO;Divorciado;Empresário;P;1
48;Superior;Não;1969.08;38.94;TO;Solteiro;Engenheiro;NJSZ;1
49;Fundamental;Sim;3966.04;46.16;PR;Solteiro;Outros;GYFEG;1
50;Médio;Sim;6264.02;20.41;ES;Solteiro;Advogado;W;3
51;Fundamental;Não;7023.3;73.63;ES;Solteiro;Engenheiro;UON;2
52;Pós-Graduação;Não;9819.53;22.39;SE;Solteiro;Outros;UYXF;2
53;Superior;Sim;2478.9;74.07;AM;Viúvo;Estudante;N;2
54;Médio;Não;7024.85;50.42;RN;Solteiro;Médico;O;3
55;Superior;Sim;8039.42;33.75;RR;Viúvo;Médico;IJ;1
56;Superior;Sim;8851.64;51.47;RS;Divorciado;Estudante;NX;2
57;Pós-Graduação;Não;1784.38;50.31;PB;Viúvo;Artista;WOYZB;1
58;Fundamental;Sim;3585.97;75.0;PR;Solteiro;Artista;WL;1
59;Pós-Graduação;Sim;8750.73;59.68;ES;Divorciado;Estudante;SA;1
60;Pós-Graduação;Não;7777.91;19.76;MT;Viúvo;Médico;IKYL;1
61;Superior;Não;4752.28;67.96;PI;Casado;Artista;UOS;3
62;Fundamental;Sim;5492.6;30.3;MG;Viúvo;Artista;ELMQL;0
63;Médio;Não;5694.5;65.29;AL;Divorciado;Outros;DKLD;3
64;Fundamental;Não;1704.78;51.93;MG;Casado;Empresário;DLTQB;1
65;Superior;Sim;5277.83;67.56;AC;Casado;Engenheiro;VYLQV;1
66;Fundamental;Sim;2398.35;68.41;PB;Viúvo;Médico;VFTJX;2
67;Superior;Sim;1052.94;79.09;PA;Divorciado;Engenheiro;WRQ;2
68;Médio;Não;5602.12;79.22;AL;Casado;Advogado;X;2
69;Pós-Graduação;Sim;2705.69;41.54;MS;Casado;Artista;FGHW;0
