cod_estado;estado;sigla_estado;pais
1;Acre;AC;Brasil
2;Alagoas;AL;Brasil
3;Amapá;AP;Brasil
4;Amazonas;AM;Brasil
5;Bahia;BA;Brasil
6;Ceará;CE;Brasil
7;Distrito Federal;DF;Brasil
8;Espírito Santo;ES;Brasil
9;Goiás;GO;Brasil
10;Maranhão;MA;Brasil
11;Mato Grosso;MT;Brasil
12;Mato Grosso do Sul;MS;Brasil
13;Minas Gerais;MG;Brasil
14;Pará;PA;Brasil
15;Paraíba;PB;Brasil
16;Paraná;PR;Brasil
17;Pernambuco;PE;Brasil
18;Piauí;PI;Brasil
19;Rio de Janeiro;RJ;Brasil
20;Rio Grande do Norte;RN;Brasil
21;Rio Grande do Sul;RS;Brasil
22;Rondônia;RO;Brasil
23;Roraima;RR;Brasil
24;Santa Catarina;SC;Brasil
25;São Paulo;SP;Brasil
26;Sergipe;SE;Brasil
27;Tocantins;TO;Brasil
