id_estado;estado;sigla_estado;pais
1;Acre;ac;Brasil
2;Alagoas;al;
3;Amapá;ap;Brasil
4;Amazonas;am;
5;Bahia;ba;Brasil
6;Ceará;ce;Brasil
7;Distrito Federal;df;Brasil
8;Espírito Santo;es;
9;Goiás;go;Brasil
10;Maranhão;ma;Brasil
11;Mato Grosso;mt;Brasil
12;Mato Grosso do Sul;ms;Brasil
13;Minas Gerais;mg;Brasil
14;Pará;pa;Brasil
15;Paraíba;pb;Brasil
16;Paraná;pr;Brasil
17;Pernambuco;pe;Brasil
18;Piauí;pi;
19;Rio de Janeiro;rj;Brasil
20;Rio Grande do Norte;rn;Brasil
21;Rio Grande do Sul;rs;Brasil
22;Rondônia;ro;Brasil
23;Roraima;rr;Brasil
24;Santa Catarina;sc;
25;São Paulo;sp;Brasil
26;Sergipe;se;Brasil
27;Tocantins;to;Brasil
