cod_cliente;qtd_comprada;ativo;data_compra
3939;81;FLRY3.SA;2022-05-13
4521;50;BBDC4.SA;2022-10-24
626;77;IRDM11.SA;2022-05-19
3811;58;ITUB4.SA;2022-05-30
1292;59;BBDC4.SA;2022-11-01
1401;95;PETR4.SA;2022-03-21
4910;30;PETR4.SA;2022-07-01
2275;31;RBVA11.SA;2022-07-14
897;24;IRDM11.SA;2022-08-25
4271;63;B3SA3.SA;2022-06-02
998;2;HGBS11.SA;2022-01-28
3663;51;ITUB4.SA;2022-03-17
880;51;HGBS11.SA;2022-12-07
3311;39;HGBS11.SA;2022-06-06
4268;2;IRDM11.SA;2022-09-15
2691;76;VALE3.SA;2022-07-07
300;44;RBVA11.SA;2022-02-02
2794;88;ITUB4.SA;2022-05-25
1883;73;VALE3.SA;2022-09-27
4920;44;IRDM11.SA;2022-09-05
4136;37;HGLG11.SA;2022-10-04
2170;46;FLRY3.SA;2022-12-09
3670;16;PETR4.SA;2022-03-16
3970;77;VINO11.SA;2022-08-26
4473;57;MGLU3.SA;2022-05-26
1594;57;B3SA3.SA;2022-07-27
3525;40;HGLG11.SA;2022-10-21
2726;22;RBVA11.SA;2022-06-15
2110;46;HGLG11.SA;2022-01-24
1;26;FLRY3.SA;2022-02-25
2498;61;PETR4.SA;2022-08-03
4944;41;BBDC4.SA;2022-03-25
1535;40;BBDC4.SA;2022-10-21
4554;16;RBVA11.SA;2022-08-12
3701;86;ITUB4.SA;2022-01-26
1543;14;MGLU3.SA;2022-07-04
1220;48;VALE3.SA;2022-06-01
1073;77;HGBS11.SA;2022-08-12
2440;56;PETR4.SA;2022-03-08
35;35;PETR4.SA;2022-11-30
2996;28;HGLG11.SA;2022-09-23
1331;43;ITUB4.SA;2022-01-25
1454;3;VINO11.SA;2022-06-10
921;77;VINO11.SA;2022-08-22
1312;47;ITUB4.SA;2022-03-02
2165;6;IRDM11.SA;2022-12-09
2264;5;VALE3.SA;2022-06-15
188;52;MGLU3.SA;2022-12-07
1697;82;RBVA11.SA;2022-08-05
1958;47;RBVA11.SA;2022-04-07
2790;58;IRDM11.SA;2022-01-05
4571;1;ITUB4.SA;2022-01-25
2481;24;VINO11.SA;2022-03-16
4513;16;VINO11.SA;2022-10-14
114;19;ITUB4.SA;2022-04-08
2473;16;ITUB4.SA;2022-12-02
3244;45;VALE3.SA;2022-10-27
2548;20;ITUB4.SA;2022-04-14
2134;44;RBVA11.SA;2022-04-29
3391;16;HGLG11.SA;2022-11-29
1682;38;VALE3.SA;2022-09-27
216;92;MGLU3.SA;2022-06-03
2160;75;IRDM11.SA;2022-09-28
54;82;PETR4.SA;2022-04-13
26;71;BBDC4.SA;2022-09-16
1359;100;FLRY3.SA;2022-12-26
990;98;PETR4.SA;2022-02-21
267;34;MGLU3.SA;2022-03-24
885;71;HGLG11.SA;2022-07-07
4569;18;IRDM11.SA;2022-10-18
418;63;MGLU3.SA;2022-09-14
