id_cliente;idade
1;17
2;28
3;62
4;55
5;44
6;17
7;30
8;30
9;34
10;55
11;50
12;62
13;52
14;34
15;69
16;65
17;61
18;65
19;48
20;60
21;70
22;28
23;63
24;34
25;53
26;42
27;35
28;55
29;55
30;62
31;24
32;29
33;56
34;54
35;60
36;67
37;16
38;42
39;33
40;60
41;60
42;54
43;55
44;36
45;22
46;65
47;68
48;38
49;38
50;70
51;23
52;34
53;30
54;48
55;36
56;25
57;65
58;39
59;58
60;38
61;70
62;47
63;57
64;58
65;30
66;25
67;30
68;48
69;35
70;49
71;28
72;42
73;50
74;24
75;31
76;43
77;39
78;34
79;48
80;61
81;18
82;58
83;46
84;18
85;52
86;66
87;43
88;25
89;35
90;29
91;47
92;30
93;19
94;67
95;22
96;56
97;28
98;25
99;47
100;20
101;49
102;33
103;29
104;38
105;21
106;56
107;50
108;65
109;48
110;63
111;23
112;66
113;39
114;44
115;21
116;22
117;44
118;48
119;32
120;32
121;60
122;36
123;47
124;28
125;50
126;30
127;46
128;21
129;35
130;37
131;21
132;26
133;69
134;52
135;53
136;59
137;24
138;39
139;35
140;57
141;48
142;62
143;48
144;53
145;63
146;49
147;40
148;28
149;45
150;39
151;52
152;55
153;29
154;26
155;16
156;41
157;69
158;55
159;58
160;23
161;16
162;24
163;45
164;51
165;70
166;29
167;66
168;34
169;53
170;22
171;55
172;61
173;57
174;28
175;55
176;20
177;24
178;40
179;43
180;33
181;36
182;27
183;53
184;18
185;33
186;60
187;20
188;31
189;42
190;66
191;29
192;53
193;62
194;35
195;24
196;48
197;32
198;28
199;70
200;62
201;67
202;31
203;16
204;21
205;50
206;53
207;54
208;35
209;60
210;41
211;17
212;50
213;36
214;67
215;67
216;52
217;62
218;43
219;50
220;32
221;33
222;38
223;24
224;31
225;57
226;46
227;35
228;25
229;35
230;56
231;66
232;35
233;20
234;66
235;46
236;25
237;23
238;34
239;34
240;22
241;32
242;67
243;34
244;29
245;59
246;57
247;41
248;28
249;39
250;46
251;19
252;46
253;60
254;56
255;58
256;40
257;26
258;42
259;50
260;63
261;34
262;47
263;39
264;62
265;21
266;32
267;41
268;30
269;27
270;60
271;55
272;18
273;54
274;58
275;23
276;19
277;50
278;32
279;64
280;66
281;39
282;37
283;62
284;47
285;50
286;52
287;25
288;38
289;41
290;20
291;28
292;64
293;20
294;33
295;28
296;45
297;66
298;55
299;41
300;66
301;64
302;26
303;22
304;22
305;49
306;67
307;22
308;16
309;31
310;45
311;26
312;70
313;33
314;39
315;64
316;41
317;66
318;47
319;25
320;48
321;44
322;41
323;60
324;53
325;70
326;47
327;28
328;18
329;30
330;33
331;17
332;64
333;27
334;28
335;68
336;44
337;70
338;63
339;43
340;54
341;68
342;68
343;47
344;31
345;21
346;39
347;46
348;61
349;52
350;28
351;61
352;33
353;25
354;63
355;29
356;23
357;67
358;51
359;21
360;34
361;34
362;65
363;28
364;62
365;21
366;57
367;28
368;38
369;70
370;42
371;56
372;33
373;38
374;18
375;23
376;50
377;60
378;53
379;19
380;44
381;51
382;33
383;32
384;17
385;66
386;60
387;17
388;39
389;27
390;48
391;53
392;43
393;54
394;27
395;49
396;31
397;44
398;54
399;68
400;39
401;43
402;57
403;45
404;38
405;29
406;58
407;49
408;42
409;19
410;37
411;24
412;44
413;19
414;33
415;42
416;56
417;36
418;39
419;25
420;39
421;68
422;47
423;48
424;25
425;57
426;42
427;59
428;55
429;68
430;38
431;62
432;42
433;42
434;35
435;63
436;34
437;44
438;53
439;26
440;61
441;54
442;59
443;55
444;58
445;64
446;31
447;34
448;19
449;50
450;45
451;19
452;61
453;25
454;70
455;43
456;29
457;43
458;58
459;41
460;64
461;43
462;53
463;35
464;32
465;20
466;63
467;20
468;65
469;36
470;36
471;36
472;32
473;36
474;46
475;63
476;45
477;44
478;26
479;35
480;46
481;26
482;35
483;29
484;56
485;58
486;53
487;41
488;25
489;31
490;17
491;62
492;64
493;70
494;21
495;34
496;66
497;67
498;26
499;41
500;55
501;23
502;41
503;58
504;16
505;59
506;50
507;34
508;40
509;45
510;48
511;51
512;29
513;28
514;42
515;65
516;47
517;46
518;19
519;26
520;50
521;45
522;67
523;26
524;53
525;39
526;30
527;38
528;20
529;23
530;63
531;43
532;51
533;61
534;51
535;32
536;37
537;32
538;34
539;31
540;35
541;51
542;34
543;20
544;66
545;36
546;57
547;61
